الترتيب,الرواية,المؤلف,البلد
1,الثلاثية,نجيب محفوظ,مصر
2,البحث عن وليد مسعود,جبرا إبراهيم جبرا,فلسطين
3,شرف,صنع الله إبراهيم,مصر
4,الحرب في بر مصر,يوسف القعيد,مصر
5,رجال في الشمس,غسان كنفاني,فلسطين
6,الوقائع الغريبة في اختفاء سعيد ابي النحس المتشائل,إميل حبيبي,فلسطين
7,الزمن الموحش,حيدر حيدر,سوريا
8,رامة والتنين,إدوار الخراط,مصر
9,حدث أبو هريرة قال,محمود المسعدي,تونس
10,كوابيس بيروت,غادة السمان,سوريا
11,المجوس,إبراهيم الكوني,ليبيا
12,الوشم,عبد الرحمن مجيد الربيعي,العراق
13,الرجع البعيد,فؤاد التكرلي,العراق
14,الشراع والعاصفة,حنا مينه,سوريا
15,الزيني بركات,جمال الغيطاني,مصر
16,ثلاثية 'سأهبك مدينة أخرى',أحمد إبراهيم الفقيه,ليبيا
17,أنا أحيا,ليلى بعلبكي,لبنان
18,لا أحد ينام في الإسكندرية,إبراهيم عبد المجيد,مصر
19,الحب في المنفى,بهاء طاهر,مصر
20,مدارات الشرق,نبيل سليمان,سوريا
21,الوباء,هاني الراهب,سوريا
22,الحرام,يوسف ادريس,مصر
23,ليلة السنوات العشر,محمد صالح الجابري,تونس
24,موسم الهجرة إلى الشمال,الطيب صالح,السودان
25,ذاكرة الجسد,أحلام مستغانمي,الجزائر
26,الخبز الحافي,محمد شكري,المغرب
27,تشريفة آل المر,عبد الكريم ناصيف,سوريا
28,دار المتعة,وليد اخلاصي,سوريا
29,طواحين بيروت,توفيق يوسف عواد,لبنان
30,الأفيال,فتحي غانم,مصر
31,نجران تحت الصفر,يحيي يخلف,فلسطين
32,العشاق,رشاد أبو شاور,فلسطين
33,الاعتراف,علي أبو الريش,الإمارات العربية المتحدة
34,النخلة والجيران,غائب طعمة فرمان,العراق
35,العصفورية,غازي القصيبي,السعودية
36,قنديل أم هاشم,يحيي حقي,مصر
37,العودة إلى المنفى,أبو المعاطي أبو النجا,مصر
38,وكالة عطية,خيري شلبي,مصر
39,تماس,عروسية النالوتي,تونس
40,سلطانة,غالب هلسا,الأردن
41,مالك الحزين,إبراهيم أصلان,مصر
42,باب الشمس,إلياس خوري,لبنان
43,الحي اللاتيني,سهيل ادريس,لبنان
44,عودة الروح,توفيق الحكيم,مصر
45,الرهينة,زيد مطيع دماج,اليمن
46,لعبة النسيان,محمد برادة,المغرب
47,الريح الشتوية,مبارك الربيع,المغرب
48,دار الباشا,حسن نصر,تونس
49,مدينة الرياح,موسى ولد ابنو,موريتانيا
50,أبواب الروح السبعة,أيوب الحجلي,سوريا
51,أيام الإنسان السبعة,عبد الحكيم قاسم,مصر
52,طائر الحوم,حليم بركات,سوريا
53,حكاية زهرة,حنان الشيخ,لبنان
54,ريح الجنوب,عبد الحميد بن هدوقة,الجزائر
55,فردوس الجنون,أحمد يوسف داوود,سوريا
56,وسمية تخرج من البحر,ليلى العثمان,الكويت
57,اعترافات كاتم صوت,مؤنس الرزاز,الأردن
58,رباعية بحري,محمد جبريل,مصر
59,صنعاء مدينة مفتوحة,محمد عبد الولي,اليمن
60,ثلاثية غرناطة,رضوى عاشور,مصر
61,دعاء الكروان,طه حسين,مصر
62,فساد الامكنة,صبري موسي,مصر
63,السقا مات,يوسف السباعي,مصر
64,تغريبه بني حتحوت,مجيد طوبيا,مصر
65,بعد الغروب,محمد عبد الحليم عبد الله,مصر
66,قلوب على الأسلاك,عبد السلام العجيلي,سوريا
67,عائشة,البشير بن سلامة,تونس
68,الظل والصدي,يوسف حبشي الأشقر,لبنان
69,الدقلة في عراجينها,بشير خريف,تونس
70,النخاس,صلاح الدين بوجاه,تونس
71,باب الساحة,سحر خليفة,فلسطين
72,سابع ايام الخلق,عبد الخالق الركابي,العراق
73,شيء من الخوف,ثروت أباظة,مصر
74,اللاز,الطاهر وطار,الجزائر
75,المرأة والوردة,محمد زفزاف,المغرب
76,ألف عام وعام من الحنين,رشيد بوجدرة,الجزائر
77,القبر المجهول,احمد بن عبد القادر,موريتانيا
78,الاغتيال والغضب,موفق خضر,العراق
79,الدوامة,قمر كيلاني,سوريا
80,الحصار,فوزية رشيد,البحرين
81,في بيتنا رجل,احسان عبد القدوس,مصر
82,رموز عصرية,خضير عبد الأمير,العراق
83,ونصيبي من الافق,عبد القادر بن الشيخ,تونس
84,مجنون الحكم,بنسالم حميش,المغرب
85,الخماسية,إسماعيل فهد إسماعيل,الكويت
86,أجنحة التيه,جواد الصيداوي,لبنان
87,ايام الرماد,محمد عز الدين التازي,المغرب
88,رأس بيروت,ياسين رفاعية,سوريا
89,عين الشمس,خليفة حسين مصطفي,ليبيا
90,لونجه والغول,زهور ونيسي,الجزائر
91,صخب البحيرة,محمد البساطي,مصر
92,السائرون نياما,سعد مكاوي,مصر
93,1952,جميل عطية إبراهيم,مصر
94,طيور أيلول,إميلي نصر الله,لبنان
95,المؤامرة,فرج الحوار,تونس
96,المعلم علي,عبد الكريم غلاب,المغرب
97,قامات الزبد,إلياس فركوح,الأردن
98,عصافير الفجر,ليلى عسيران,لبنان
99,جسر بنات يعقوب,حسن حميد,فلسطين
100,الوسمية,عبد العزيز مشري,السعودية
101,البشموري,سلوى بكر,مصر
102,الفارس القتيل يترجل,إلياس الديري,لبنان
103,التوت المر,محمد العروسي المطوي,تونس
104,أغنية الماء والنار,عبد الله خليفة,البحرين
105,الباب المفتوح,لطيفة الزيات,مصر
106,مدن الملح(خماسية),عبد الرحمن منيف,السعودية
